id_car2,C,12;id_commune,C,10;id_ins_1,C,10;id_epci
00135-09526;00135;0000-0378;000000000
00135-09527;00135;0000-0378;000000000
00135-09528;00135;0000-0378;000000000
00135-09529;00135;0000-0379;000000000
00135-09530;00135;0000-0379;000000000
00135-09531;00135;0000-0379;000000000
00135-09532;00135;0000-0379;000000000
00135-09533;00135;0000-0379;000000000
00135-09534;00135;0000-0380;000000000
00135-09535;00135;0000-0380;000000000
00135-09536;00135;0000-0380;000000000
00135-09537;00135;0000-0380;000000000
00135-09538;00135;0000-0380;000000000
00135-09539;00135;0000-0381;000000000
00135-09540;00135;0000-0381;000000000
00135-09541;00135;0000-0381;000000000
